,Rank,University,Location,Country,Overall Score,IRN,H-index,Citations Per Paper,Academic Reputation,Employer Reputation
374,368,University of Texas Dallas,Richardson,United States,62.8,47.7,73.3,88.7,62.4,56.8
375,368,Washington State University,Pullman,United States,62.8,52.9,75.0,88.7,60.7,58.5
376,377,American University of the Middle East,Egaila,Kuwait,62.7,26.9,36.2,41.9,65.8,75.3
377,377,"Asian Institute of Technology, Thailand",Pathumthani,Thailand,62.7,35.1,51.8,69.2,65.8,63.2
378,377,De La Salle University,Manila,Philippines,62.7,35.6,46.8,62.0,61.9,72.7
379,377,North Carolina State University,Raleigh,United States,62.7,65.5,69.6,84.3,60.5,58.9
380,377,Universidad de Sevilla,Seville,Spain,62.7,58.5,71.5,82.1,61.6,58.2
381,377,University of South Carolina,Columbia,United States,62.7,65.7,73.3,87.5,62.3,54.0
382,383,Eötvös Loránd University,Budapest,Hungary,62.6,53.1,63.8,72.1,61.5,63.5
383,383,Russian Presidential Academy of National Economy and Public Administration,Moscow,Russia,62.6,24.6,51.8,61.2,64.8,68.4
384,383,UCSI University,Kuala Lumpur,Malaysia,62.6,24.3,43.8,52.1,66.9,69.1
385,383,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Barcelona,Spain,62.6,65.5,63.8,82.9,55.6,68.3
386,383,University of Tartu,Tartu,Estonia,62.6,57.2,61.0,78.0,64.2,57.3
387,388,Indian Institute of Management (IIM) - Calcutta,Kolkata,India,62.5,24.3,51.8,55.5,72.0,57.3
388,388,Nagoya University,Nagoya,Japan,62.5,33.4,49.5,70.9,64.5,65.1
389,390,KTH Royal Institute of Technology,Stockholm,Sweden,62.4,72.7,65.1,88.9,57.1,62.3
390,390,Syracuse University,Syracuse,United States,62.4,44,69.6,85.1,65.0,53.5
391,390,Temple University,Philadelphia,United States,62.4,72.2,80.0,91.5,63.7,46.8
392,393,Aristotle University of Thessaloniki,Thessaloniki,Greece,62.3,66.1,63.8,84.1,59.2,61.0
393,393,Ateneo de Manila University,Quezon City,Philippines,62.3,34.1,40.3,42.8,63.6,75.2
394,393,Northeastern University,Boston,United States,62.3,61.8,81.3,91.6,61.6,51.5
